Column_Data_00
    step        time[-]    v_max[-]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV     time[sec]
     366   1.143750e+00  5.6117e-01   500     5.13308e-02   501  1.0179e-06  2.0998e-06   3.569e-03  9.976e-05  1.274e+01  3.641216e-02
     367   1.146875e+00  5.6256e-01   500     5.17427e-02   501  1.0144e-06  2.0926e-06   3.554e-03  1.002e-04  1.276e+01  3.671599e-02
     368   1.150000e+00  5.6394e-01   500     5.21533e-02   501  1.0109e-06  2.0855e-06   3.539e-03  1.007e-04  1.277e+01  1.930148e-01
     369   1.153125e+00  5.6530e-01   500     5.25626e-02   501  1.0075e-06  2.0783e-06   3.524e-03  1.012e-04  1.279e+01  9.961619e-02
     370   1.156250e+00  5.6665e-01   500     5.29704e-02   501  1.0040e-06  2.0711e-06   3.509e-03  1.017e-04  1.281e+01  3.116645e-02
     371   1.159375e+00  5.6799e-01   500     5.33768e-02   501  1.0005e-06  2.0638e-06   3.494e-03  1.021e-04  1.282e+01  3.733715e-02
     372   1.162500e+00  5.6932e-01   500     5.37817e-02   501  9.9696e-07  2.0566e-06   3.479e-03  1.026e-04  1.284e+01  3.527510e-02
     373   1.165625e+00  5.7064e-01   500     5.41852e-02   501  9.9345e-07  2.0494e-06   3.464e-03  1.031e-04  1.285e+01  3.005114e-02
     374   1.168750e+00  5.7194e-01   500     5.45871e-02   501  9.8993e-07  2.0421e-06   3.449e-03  1.035e-04  1.287e+01  5.305343e-01
     375   1.171875e+00  5.7323e-01   500     5.49874e-02   501  9.8640e-07  2.0348e-06   3.435e-03  1.040e-04  1.288e+01  3.829378e-02
     376   1.175000e+00  5.7451e-01   500     5.53862e-02   501  9.8287e-07  2.0276e-06   3.420e-03  1.044e-04  1.290e+01  3.683957e-02
     377   1.178125e+00  5.7578e-01   500     5.57833e-02   501  9.7934e-07  2.0203e-06   3.405e-03  1.049e-04  1.292e+01  3.684090e-02
     378   1.181250e+00  5.7703e-01   500     5.61788e-02   501  9.7580e-07  2.0130e-06   3.391e-03  1.053e-04  1.293e+01  3.686707e-02
     379   1.184375e+00  5.7828e-01   500     5.65727e-02   501  9.7225e-07  2.0057e-06   3.376e-03  1.058e-04  1.295e+01  3.925626e-02
     380   1.187500e+00  5.7951e-01   500     5.69648e-02   501  9.6870e-07  1.9983e-06   3.362e-03  1.062e-04  1.296e+01  3.758817e-02
     381   1.190625e+00  5.8073e-01   500     5.73552e-02   501  9.6514e-07  1.9910e-06   3.347e-03  1.067e-04  1.298e+01  3.707599e-02
     382   1.193750e+00  5.8194e-01   500     5.77439e-02   501  9.6158e-07  1.9836e-06   3.333e-03  1.071e-04  1.299e+01  3.670014e-02
     383   1.196875e+00  5.8314e-01   500     5.81308e-02   501  9.5801e-07  1.9763e-06   3.319e-03  1.076e-04  1.300e+01  3.671898e-02
     384   1.200000e+00  5.8433e-01   500     5.85160e-02   501  9.5444e-07  1.9689e-06   3.304e-03  1.080e-04  1.302e+01  3.677339e-02
     385   1.203125e+00  5.8550e-01   500     5.88993e-02   501  9.5086e-07  1.9615e-06   3.290e-03  1.084e-04  1.303e+01  3.713882e-02
     386   1.206250e+00  5.8667e-01   500     5.92808e-02   501  9.4728e-07  1.9541e-06   3.276e-03  1.089e-04  1.305e+01  4.071482e-02
     387   1.209375e+00  5.8782e-01   500     5.96605e-02   501  9.4369e-07  1.9467e-06   3.262e-03  1.093e-04  1.306e+01  3.734744e-02
     388   1.212500e+00  5.8896e-01   500     6.00383e-02   501  9.4010e-07  1.9393e-06   3.248e-03  1.097e-04  1.308e+01  3.599428e-02
     389   1.215625e+00  5.9010e-01   500     6.04142e-02   501  9.3650e-07  1.9319e-06   3.234e-03  1.102e-04  1.309e+01  3.567834e-02
     390   1.218750e+00  5.9122e-01   500     6.07883e-02   501  9.3290e-07  1.9245e-06   3.220e-03  1.106e-04  1.310e+01  5.035554e-02
     391   1.221875e+00  5.9233e-01   500     6.11604e-02   501  9.2930e-07  1.9170e-06   3.206e-03  1.110e-04  1.312e+01  3.685121e-02
     392   1.225000e+00  5.9343e-01   500     6.15306e-02   501  9.2569e-07  1.9096e-06   3.192e-03  1.115e-04  1.313e+01  3.631030e-02
     393   1.228125e+00  5.9453e-01   500     6.18989e-02   501  9.2208e-07  1.9022e-06   3.178e-03  1.119e-04  1.314e+01  3.755946e-02
     394   1.231250e+00  5.9561e-01   500     6.22652e-02   501  9.1846e-07  1.8947e-06   3.164e-03  1.123e-04  1.316e+01  3.695006e-02
     395   1.234375e+00  5.9668e-01   500     6.26295e-02   501  9.1485e-07  1.8872e-06   3.150e-03  1.127e-04  1.317e+01  3.622915e-02
     396   1.237500e+00  5.9774e-01   500     6.29919e-02   501  9.1122e-07  1.8798e-06   3.137e-03  1.131e-04  1.318e+01  4.020831e-02
     397   1.240625e+00  5.9879e-01   500     6.33523e-02   501  9.0760e-07  1.8723e-06   3.123e-03  1.135e-04  1.320e+01  3.022155e-02
     398   1.243750e+00  5.9984e-01   500     6.37106e-02   501  9.0397e-07  1.8648e-06   3.109e-03  1.139e-04  1.321e+01  3.674202e-02
     399   1.246875e+00  6.0087e-01   500     6.40670e-02   501  9.0034e-07  1.8573e-06   3.096e-03  1.144e-04  1.322e+01  3.779646e-02
     400   1.250000e+00  6.0189e-01   500     6.44213e-02   501  8.9671e-07  1.8498e-06   3.082e-03  1.148e-04  1.324e+01  3.867246e-02
     401   1.253125e+00  6.0291e-01   500     6.47736e-02   502  8.9053e-07  1.8371e-06   3.070e-03  1.152e-04  1.325e+01  3.829347e-02
     402   1.256250e+00  6.0391e-01   500     6.51239e-02   502  8.8569e-07  1.8271e-06   3.055e-03  1.156e-04  1.326e+01  3.669944e-02
     403   1.259375e+00  6.0491e-01   500     6.54720e-02   502  8.8207e-07  1.8196e-06   3.042e-03  1.160e-04  1.327e+01  3.663913e-02
     404   1.262500e+00  6.0590e-01   500     6.58181e-02   502  8.7875e-07  1.8128e-06   3.029e-03  1.164e-04  1.329e+01  3.637761e-02
     405   1.265625e+00  6.0687e-01   500     6.61622e-02   502  8.7526e-07  1.8056e-06   3.016e-03  1.168e-04  1.330e+01  3.560622e-02
     406   1.268750e+00  6.0784e-01   500     6.65041e-02   502  8.7163e-07  1.7981e-06   3.002e-03  1.172e-04  1.331e+01  3.713063e-02
     407   1.271875e+00  6.0881e-01   500     6.68440e-02   502  8.6796e-07  1.7905e-06   2.989e-03  1.175e-04  1.332e+01  3.661338e-02
     408   1.275000e+00  6.0976e-01   500     6.71817e-02   502  8.6431e-07  1.7830e-06   2.976e-03  1.179e-04  1.334e+01  3.714175e-02
     409   1.278125e+00  6.1070e-01   500     6.75174e-02   502  8.6067e-07  1.7755e-06   2.963e-03  1.183e-04  1.335e+01  3.604038e-02
     410   1.281250e+00  6.1164e-01   500     6.78509e-02   502  8.5704e-07  1.7680e-06   2.950e-03  1.187e-04  1.336e+01  2.997547e-02
     411   1.284375e+00  6.1257e-01   500     6.81823e-02   502  8.5341e-07  1.7605e-06   2.937e-03  1.191e-04  1.337e+01  3.738099e-02
     412   1.287500e+00  6.1349e-01   500     6.85115e-02   502  8.4977e-07  1.7530e-06   2.924e-03  1.195e-04  1.338e+01  3.884388e-02
     413   1.290625e+00  6.1440e-01   500     6.88386e-02   502  8.4613e-07  1.7455e-06   2.911e-03  1.199e-04  1.339e+01  3.515571e-02
     414   1.293750e+00  6.1531e-01   500     6.91636e-02   502  8.4250e-07  1.7380e-06   2.898e-03  1.202e-04  1.341e+01  3.670356e-02
     415   1.296875e+00  6.1620e-01   500     6.94864e-02   502  8.3886e-07  1.7305e-06   2.886e-03  1.206e-04  1.342e+01  2.920500e-02
     416   1.300000e+00  6.1709e-01   500     6.98071e-02   502  8.3522e-07  1.7230e-06   2.873e-03  1.210e-04  1.343e+01  3.756593e-02
     417   1.303125e+00  6.1797e-01   500     7.01256e-02   502  8.3159e-07  1.7155e-06   2.860e-03  1.214e-04  1.344e+01  4.922541e-02
     418   1.306250e+00  6.1885e-01   500     7.04419e-02   502  8.2795e-07  1.7080e-06   2.848e-03  1.217e-04  1.345e+01  1.015179e-01
     419   1.309375e+00  6.1972e-01   500     7.07560e-02   502  8.2432e-07  1.7005e-06   2.835e-03  1.221e-04  1.346e+01  3.665563e-02
     420   1.312500e+00  6.2058e-01   500     7.10679e-02   502  8.2068e-07  1.6930e-06   2.823e-03  1.225e-04  1.347e+01  3.734789e-02
     421   1.315625e+00  6.2143e-01   500     7.13777e-02   502  8.1705e-07  1.6855e-06   2.810e-03  1.228e-04  1.348e+01  3.780546e-02
     422   1.318750e+00  6.2228e-01   500     7.16853e-02   502  8.1342e-07  1.6780e-06   2.798e-03  1.232e-04  1.350e+01  3.665525e-02
     423   1.321875e+00  6.2312e-01   500     7.19906e-02   502  8.0979e-07  1.6705e-06   2.785e-03  1.236e-04  1.351e+01  3.876520e-02
     424   1.325000e+00  6.2395e-01   500     7.22938e-02   502  8.0617e-07  1.6630e-06   2.773e-03  1.239e-04  1.352e+01  3.597891e-02
     425   1.328125e+00  6.2478e-01   500     7.25947e-02   502  8.0254e-07  1.6556e-06   2.761e-03  1.243e-04  1.353e+01  3.547832e-02
     426   1.331250e+00  6.2560e-01   500     7.28935e-02   502  7.9892e-07  1.6481e-06   2.749e-03  1.246e-04  1.354e+01  3.619187e-02
     427   1.334375e+00  6.2641e-01   500     7.31900e-02   502  7.9530e-07  1.6406e-06   2.736e-03  1.250e-04  1.355e+01  3.608065e-02
     428   1.337500e+00  6.2722e-01   500     7.34843e-02   501  7.9395e-07  1.6378e-06   2.723e-03  1.254e-04  1.356e+01  3.771831e-02
     429   1.340625e+00  6.2802e-01   500     7.37764e-02   501  7.9140e-07  1.6326e-06   2.713e-03  1.257e-04  1.357e+01  3.896210e-02
     430   1.343750e+00  6.2881e-01   500     7.40662e-02   501  7.8777e-07  1.6251e-06   2.701e-03  1.261e-04  1.358e+01  3.629239e-02
     431   1.346875e+00  6.2960e-01   500     7.43539e-02   501  7.8388e-07  1.6171e-06   2.688e-03  1.264e-04  1.359e+01  3.601434e-02
     432   1.350000e+00  6.3039e-01   500     7.46393e-02   501  7.8013e-07  1.6093e-06   2.676e-03  1.268e-04  1.360e+01  3.675707e-02
     433   1.353125e+00  6.3116e-01   500     7.49225e-02   501  7.7652e-07  1.6019e-06   2.664e-03  1.271e-04  1.361e+01  3.585753e-02
     434   1.356250e+00  6.3194e-01   500     7.52034e-02   501  7.7294e-07  1.5945e-06   2.653e-03  1.274e-04  1.362e+01  5.370060e-02
     435   1.359375e+00  6.3270e-01   500     7.54821e-02   501  7.6935e-07  1.5871e-06   2.641e-03  1.278e-04  1.363e+01  3.604304e-02
     436   1.362500e+00  6.3346e-01   500     7.57586e-02   501  7.6575e-07  1.5797e-06   2.629e-03  1.281e-04  1.364e+01  3.572359e-02
     437   1.365625e+00  6.3422e-01   500     7.60328e-02   501  7.6215e-07  1.5722e-06   2.618e-03  1.285e-04  1.365e+01  3.970323e-02
     438   1.368750e+00  6.3496e-01   500     7.63048e-02   501  7.5855e-07  1.5648e-06   2.606e-03  1.288e-04  1.366e+01  3.693657e-02
     439   1.371875e+00  6.3571e-01   500     7.65746e-02   501  7.5496e-07  1.5574e-06   2.595e-03  1.291e-04  1.367e+01  3.689256e-02
     440   1.375000e+00  6.3645e-01   500     7.68422e-02   501  7.5138e-07  1.5500e-06   2.583e-03  1.295e-04  1.368e+01  3.687699e-02
     441   1.378125e+00  6.3718e-01   500     7.71075e-02   501  7.4780e-07  1.5426e-06   2.572e-03  1.298e-04  1.369e+01  3.609854e-02
     442   1.381250e+00  6.3791e-01   500     7.73706e-02   501  7.4423e-07  1.5353e-06   2.560e-03  1.301e-04  1.370e+01  4.027896e-02
     443   1.384375e+00  6.3863e-01   500     7.76314e-02   501  7.4066e-07  1.5279e-06   2.549e-03  1.305e-04  1.371e+01  4.486750e-02
     444   1.387500e+00  6.3935e-01   500     7.78900e-02   501  7.3710e-07  1.5206e-06   2.538e-03  1.308e-04  1.372e+01  3.632137e-02
     445   1.390625e+00  6.4006e-01   500     7.81465e-02   501  7.3354e-07  1.5132e-06   2.527e-03  1.311e-04  1.373e+01  3.682900e-02
     446   1.393750e+00  6.4077e-01   500     7.84007e-02   501  7.2999e-07  1.5059e-06   2.516e-03  1.314e-04  1.374e+01  3.645139e-02
     447   1.396875e+00  6.4147e-01   500     7.86526e-02   501  7.2645e-07  1.4986e-06   2.505e-03  1.318e-04  1.375e+01  3.709407e-02
     448   1.400000e+00  6.4217e-01   500     7.89024e-02   501  7.2291e-07  1.4913e-06   2.494e-03  1.321e-04  1.375e+01  4.048693e-02
     449   1.403125e+00  6.4287e-01   500     7.91500e-02   501  7.1938e-07  1.4840e-06   2.483e-03  1.324e-04  1.376e+01  3.075472e-02
     450   1.406250e+00  6.4356e-01   500     7.93954e-02   501  7.1585e-07  1.4767e-06   2.472e-03  1.327e-04  1.377e+01  3.631388e-02
     451   1.409375e+00  6.4424e-01   500     7.96386e-02   501  7.1234e-07  1.4695e-06   2.461e-03  1.330e-04  1.378e+01  3.786185e-02
     452   1.412500e+00  6.4492e-01   500     7.98796e-02   501  7.0883e-07  1.4622e-06   2.450e-03  1.334e-04  1.379e+01  3.075156e-02
     453   1.415625e+00  6.4560e-01   500     8.01184e-02   501  7.0532e-07  1.4550e-06   2.439e-03  1.337e-04  1.380e+01  3.770997e-02
     454   1.418750e+00  6.4627e-01   500     8.03551e-02   501  7.0183e-07  1.4478e-06   2.429e-03  1.340e-04  1.381e+01  3.685929e-02
     455   1.421875e+00  6.4693e-01   500     8.05896e-02   501  6.9834e-07  1.4406e-06   2.418e-03  1.343e-04  1.382e+01  2.868943e-02
     456   1.425000e+00  6.4760e-01   500     8.08220e-02   501  6.9485e-07  1.4334e-06   2.408e-03  1.346e-04  1.383e+01  3.630304e-02
     457   1.428125e+00  6.4825e-01   500     8.10522e-02   501  6.9138e-07  1.4263e-06   2.397e-03  1.349e-04  1.384e+01  3.594106e-02
     458   1.431250e+00  6.4891e-01   500     8.12803e-02   501  6.8791e-07  1.4191e-06   2.387e-03  1.352e-04  1.384e+01  3.530787e-02
     459   1.434375e+00  6.4956e-01   500     8.15063e-02   501  6.8446e-07  1.4120e-06   2.376e-03  1.355e-04  1.385e+01  3.148200e-02
     460   1.437500e+00  6.5020e-01   500     8.17302e-02   501  6.8101e-07  1.4049e-06   2.366e-03  1.358e-04  1.386e+01  3.645189e-02
     461   1.440625e+00  6.5084e-01   500     8.19520e-02   501  6.7756e-07  1.3978e-06   2.356e-03  1.361e-04  1.387e+01  3.653841e-02
     462   1.443750e+00  6.5148e-01   500     8.21717e-02   501  6.7413e-07  1.3907e-06   2.345e-03  1.364e-04  1.388e+01  3.578961e-02
     463   1.446875e+00  6.5211e-01   500     8.23894e-02   501  6.7071e-07  1.3836e-06   2.335e-03  1.367e-04  1.389e+01  2.991457e-02
     464   1.450000e+00  6.5274e-01   500     8.26050e-02   501  6.6729e-07  1.3766e-06   2.325e-03  1.370e-04  1.389e+01  4.079772e-02
     465   1.453125e+00  6.5336e-01   500     8.28186e-02   501  6.6388e-07  1.3695e-06   2.315e-03  1.373e-04  1.390e+01  3.558296e-02
     466   1.456250e+00  6.5398e-01   500     8.30301e-02   501  6.6049e-07  1.3625e-06   2.305e-03  1.376e-04  1.391e+01  3.508889e-02
     467   1.459375e+00  6.5460e-01   500     8.32396e-02   501  6.5710e-07  1.3555e-06   2.295e-03  1.379e-04  1.392e+01  1.051699e-01
     468   1.462500e+00  6.5521e-01   500     8.34472e-02   501  6.5372e-07  1.3486e-06   2.285e-03  1.382e-04  1.393e+01  4.178156e-02
     469   1.465625e+00  6.5582e-01   500     8.36528e-02   501  6.5035e-07  1.3416e-06   2.275e-03  1.385e-04  1.394e+01  4.743437e-02
     470   1.468750e+00  6.5642e-01   500     8.38564e-02   501  6.4698e-07  1.3347e-06   2.266e-03  1.388e-04  1.394e+01  3.570005e-02
     471   1.471875e+00  6.5702e-01   500     8.40581e-02   501  6.4363e-07  1.3278e-06   2.256e-03  1.391e-04  1.395e+01  3.470858e-02
     472   1.475000e+00  6.5762e-01   500     8.42579e-02   501  6.4029e-07  1.3209e-06   2.246e-03  1.393e-04  1.396e+01  3.700083e-02
     473   1.478125e+00  6.5821e-01   500     8.44557e-02   501  6.3696e-07  1.3140e-06   2.237e-03  1.396e-04  1.397e+01  3.024147e-02
     474   1.481250e+00  6.5880e-01   500     8.46517e-02   501  6.3364e-07  1.3071e-06   2.227e-03  1.399e-04  1.398e+01  3.692718e-02
     475   1.484375e+00  6.5938e-01   500     8.48459e-02   501  6.3032e-07  1.3003e-06   2.217e-03  1.402e-04  1.398e+01  5.192491e-02
     476   1.487500e+00  6.5996e-01   500     8.50382e-02   501  6.2702e-07  1.2935e-06   2.208e-03  1.405e-04  1.399e+01  3.680180e-02
     477   1.490625e+00  6.6053e-01   500     8.52286e-02   501  6.2373e-07  1.2867e-06   2.199e-03  1.408e-04  1.400e+01  3.560570e-02
     478   1.493750e+00  6.6111e-01   500     8.54173e-02   501  6.2045e-07  1.2799e-06   2.189e-03  1.410e-04  1.401e+01  3.604837e-02
     479   1.496875e+00  6.6168e-01   500     8.56042e-02   501  6.1718e-07  1.2732e-06   2.180e-03  1.413e-04  1.401e+01  3.680382e-02
     480   1.500000e+00  6.6224e-01   500     8.57894e-02   501  6.1391e-07  1.2665e-06   2.171e-03  1.416e-04  1.402e+01  3.687505e-02
     481   1.503125e+00  6.6280e-01   500     8.59728e-02   501  6.1066e-07  1.2598e-06   2.161e-03  1.419e-04  1.403e+01  3.655082e-02
     482   1.506250e+00  6.6336e-01   500     8.61545e-02   501  6.0742e-07  1.2531e-06   2.152e-03  1.421e-04  1.404e+01  3.595712e-02
     483   1.509375e+00  6.6391e-01   500     8.63345e-02   501  6.0420e-07  1.2464e-06   2.143e-03  1.424e-04  1.404e+01  3.856156e-02
     484   1.512500e+00  6.6446e-01   500     8.65129e-02   501  6.0098e-07  1.2398e-06   2.134e-03  1.427e-04  1.405e+01  3.589057e-02
     485   1.515625e+00  6.6500e-01   500     8.66896e-02   501  5.9777e-07  1.2332e-06   2.125e-03  1.429e-04  1.406e+01  3.631623e-02
     486   1.518750e+00  6.6554e-01   500     8.68647e-02   501  5.9457e-07  1.2266e-06   2.116e-03  1.432e-04  1.407e+01  9.733004e-02
     487   1.521875e+00  6.6608e-01   500     8.70382e-02   501  5.9139e-07  1.2200e-06   2.107e-03  1.435e-04  1.407e+01  3.421078e-02
     488   1.525000e+00  6.6661e-01   500     8.72102e-02   501  5.8822e-07  1.2134e-06   2.098e-03  1.437e-04  1.408e+01  3.766342e-02
     489   1.528125e+00  6.6714e-01   500     8.73806e-02   501  5.8505e-07  1.2069e-06   2.089e-03  1.440e-04  1.409e+01  3.734245e-02
     490   1.531250e+00  6.6767e-01   500     8.75495e-02   501  5.8190e-07  1.2004e-06   2.080e-03  1.443e-04  1.410e+01  3.049666e-02
     491   1.534375e+00  6.6819e-01   500     8.77169e-02   501  5.7876e-07  1.1939e-06   2.072e-03  1.445e-04  1.410e+01  3.678110e-02
     492   1.537500e+00  6.6871e-01   500     8.78828e-02   501  5.7564e-07  1.1875e-06   2.063e-03  1.448e-04  1.411e+01  3.686326e-02
     493   1.540625e+00  6.6922e-01   500     8.80473e-02   501  5.7252e-07  1.1811e-06   2.054e-03  1.450e-04  1.412e+01  3.656268e-02
     494   1.543750e+00  6.6973e-01   500     8.82103e-02   501  5.6942e-07  1.1747e-06   2.046e-03  1.453e-04  1.412e+01  6.526119e-02
     495   1.546875e+00  6.7024e-01   500     8.83720e-02   501  5.6632e-07  1.1683e-06   2.037e-03  1.456e-04  1.413e+01  3.666204e-02
     496   1.550000e+00  6.7074e-01   500     8.85323e-02   501  5.6324e-07  1.1619e-06   2.029e-03  1.458e-04  1.414e+01  3.808480e-02
     497   1.553125e+00  6.7124e-01   500     8.86912e-02   501  5.6017e-07  1.1556e-06   2.020e-03  1.461e-04  1.415e+01  3.643866e-02
     498   1.556250e+00  6.7174e-01   500     8.88489e-02   501  5.5712e-07  1.1493e-06   2.012e-03  1.463e-04  1.415e+01  3.811045e-02
     499   1.559375e+00  6.7223e-01   500     8.90052e-02   501  5.5407e-07  1.1430e-06   2.003e-03  1.466e-04  1.416e+01  3.573614e-02
     500   1.562500e+00  6.7271e-01   500     8.91603e-02   501  5.5104e-07  1.1368e-06   1.995e-03  1.468e-04  1.417e+01  3.833779e-02
     501   1.565625e+00  6.7320e-01   500     8.93141e-02   501  5.4802e-07  1.1305e-06   1.987e-03  1.471e-04  1.417e+01  3.697535e-02
     502   1.568750e+00  6.7368e-01   500     8.94668e-02   501  5.4501e-07  1.1243e-06   1.978e-03  1.473e-04  1.418e+01  3.566006e-02
     503   1.571875e+00  6.7415e-01   500     8.96182e-02   501  5.4201e-07  1.1181e-06   1.970e-03  1.476e-04  1.419e+01  3.617539e-02
     504   1.575000e+00  6.7462e-01   500     8.97684e-02   501  5.3903e-07  1.1120e-06   1.962e-03  1.478e-04  1.419e+01  3.020969e-02
     505   1.578125e+00  6.7509e-01   500     8.99175e-02   501  5.3606e-07  1.1058e-06   1.954e-03  1.481e-04  1.420e+01  3.737970e-02
     506   1.581250e+00  6.7556e-01   500     9.00655e-02   501  5.3310e-07  1.0997e-06   1.946e-03  1.483e-04  1.421e+01  3.643160e-02
     507   1.584375e+00  6.7602e-01   500     9.02124e-02   501  5.3015e-07  1.0937e-06   1.938e-03  1.485e-04  1.421e+01  3.617512e-02
     508   1.587500e+00  6.7647e-01   500     9.03583e-02   501  5.2722e-07  1.0876e-06   1.930e-03  1.488e-04  1.422e+01  3.658143e-02
     509   1.590625e+00  6.7693e-01   500     9.05030e-02   501  5.2430e-07  1.0816e-06   1.922e-03  1.490e-04  1.423e+01  3.723259e-02
     510   1.593750e+00  6.7737e-01   500     9.06468e-02   501  5.2139e-07  1.0756e-06   1.914e-03  1.493e-04  1.423e+01  3.743469e-02
     511   1.596875e+00  6.7782e-01   500     9.07895e-02   501  5.1849e-07  1.0696e-06   1.906e-03  1.495e-04  1.424e+01  3.572532e-02
     512   1.600000e+00  6.7826e-01   500     9.09313e-02   501  5.1561e-07  1.0637e-06   1.898e-03  1.497e-04  1.425e+01  3.627232e-02
     513   1.603125e+00  6.7870e-01   500     9.10721e-02   501  5.1274e-07  1.0577e-06   1.890e-03  1.500e-04  1.425e+01  4.214680e-02
     514   1.606250e+00  6.7913e-01   500     9.12120e-02   501  5.0988e-07  1.0518e-06   1.882e-03  1.502e-04  1.426e+01  3.637807e-02
     515   1.609375e+00  6.7956e-01   500     9.13509e-02   501  5.0703e-07  1.0460e-06   1.875e-03  1.504e-04  1.427e+01  3.804716e-02
     516   1.612500e+00  6.7999e-01   500     9.14890e-02   501  5.0420e-07  1.0401e-06   1.867e-03  1.507e-04  1.427e+01  3.646204e-02
     517   1.615625e+00  6.8041e-01   500     9.16262e-02   501  5.0138e-07  1.0343e-06   1.859e-03  1.509e-04  1.428e+01  2.975243e-02
     518   1.618750e+00  6.8083e-01   500     9.17626e-02   501  4.9858e-07  1.0285e-06   1.852e-03  1.511e-04  1.429e+01  7.792186e-02
     519   1.621875e+00  6.8124e-01   500     9.18981e-02   501  4.9578e-07  1.0228e-06   1.844e-03  1.514e-04  1.429e+01  3.443367e-02
     520   1.625000e+00  6.8165e-01   500     9.20328e-02   501  4.9300e-07  1.0170e-06   1.837e-03  1.516e-04  1.430e+01  4.696590e-02
     521   1.628125e+00  6.8206e-01   500     9.21667e-02   501  4.9024e-07  1.0113e-06   1.829e-03  1.518e-04  1.430e+01  3.631898e-02
     522   1.631250e+00  6.8247e-01   500     9.22998e-02   501  4.8748e-07  1.0056e-06   1.822e-03  1.520e-04  1.431e+01  3.678101e-02
     523   1.634375e+00  6.8287e-01   500     9.24322e-02   501  4.8474e-07  9.9999e-07   1.814e-03  1.523e-04  1.432e+01  3.641326e-02
     524   1.637500e+00  6.8326e-01   500     9.25639e-02   501  4.8201e-07  9.9436e-07   1.807e-03  1.525e-04  1.432e+01  3.171021e-02
     525   1.640625e+00  6.8366e-01   500     9.26948e-02   501  4.7930e-07  9.8876e-07   1.799e-03  1.527e-04  1.433e+01  3.749436e-02
     526   1.643750e+00  6.8405e-01   500     9.28250e-02   501  4.7660e-07  9.8319e-07   1.792e-03  1.529e-04  1.434e+01  3.598561e-02
     527   1.646875e+00  6.8443e-01   500     9.29545e-02   501  4.7391e-07  9.7764e-07   1.785e-03  1.532e-04  1.434e+01  3.678343e-02
     528   1.650000e+00  6.8481e-01   500     9.30834e-02   501  4.7123e-07  9.7212e-07   1.777e-03  1.534e-04  1.435e+01  3.049119e-02
     529   1.653125e+00  6.8519e-01   500     9.32116e-02   501  4.6857e-07  9.6663e-07   1.770e-03  1.536e-04  1.435e+01  3.750186e-02
     530   1.656250e+00  6.8557e-01   500     9.33391e-02   501  4.6592e-07  9.6117e-07   1.763e-03  1.538e-04  1.436e+01  3.689189e-02
     531   1.659375e+00  6.8594e-01   500     9.34660e-02   501  4.6329e-07  9.5573e-07   1.756e-03  1.540e-04  1.437e+01  3.662886e-02
     532   1.662500e+00  6.8631e-01   500     9.35923e-02   501  4.6067e-07  9.5032e-07   1.749e-03  1.543e-04  1.437e+01  3.692463e-02
     533   1.665625e+00  6.8667e-01   500     9.37180e-02   501  4.5806e-07  9.4494e-07   1.742e-03  1.545e-04  1.438e+01  3.053348e-02
     534   1.668750e+00  6.8703e-01   500     9.38431e-02   501  4.5546e-07  9.3959e-07   1.735e-03  1.547e-04  1.438e+01  3.717076e-02
     535   1.671875e+00  6.8739e-01   500     9.39676e-02   501  4.5288e-07  9.3426e-07   1.728e-03  1.549e-04  1.439e+01  3.662329e-02
     536   1.675000e+00  6.8774e-01   500     9.40916e-02   501  4.5031e-07  9.2897e-07   1.721e-03  1.551e-04  1.440e+01  3.589344e-02
     537   1.678125e+00  6.8809e-01   500     9.42150e-02   501  4.4776e-07  9.2370e-07   1.714e-03  1.553e-04  1.440e+01  3.730326e-02
     538   1.681250e+00  6.8844e-01   500     9.43378e-02   501  4.4522e-07  9.1845e-07   1.707e-03  1.555e-04  1.441e+01  3.078120e-02
     539   1.684375e+00  6.8879e-01   500     9.44601e-02   501  4.4269e-07  9.1324e-07   1.700e-03  1.557e-04  1.441e+01  4.026244e-02
     540   1.687500e+00  6.8913e-01   500     9.45819e-02   501  4.4017e-07  9.0805e-07   1.693e-03  1.560e-04  1.442e+01  3.670916e-02
     541   1.690625e+00  6.8946e-01   500     9.47031e-02   501  4.3767e-07  9.0289e-07   1.686e-03  1.562e-04  1.442e+01  3.638173e-02
     542   1.693750e+00  6.8980e-01   500     9.48238e-02   501  4.3518e-07  8.9776e-07   1.679e-03  1.564e-04  1.443e+01  3.609118e-02
     543   1.696875e+00  6.9013e-01   500     9.49440e-02   501  4.3271e-07  8.9266e-07   1.673e-03  1.566e-04  1.444e+01  3.637598e-02
     544   1.700000e+00  6.9046e-01   500     9.50637e-02   501  4.3025e-07  8.8758e-07   1.666e-03  1.568e-04  1.444e+01  3.803336e-02
     545   1.703125e+00  6.9078e-01   500     9.51829e-02   501  4.2780e-07  8.8253e-07   1.659e-03  1.570e-04  1.445e+01  3.638508e-02
     546   1.706250e+00  6.9110e-01   500     9.53015e-02   501  4.2537e-07  8.7751e-07   1.652e-03  1.572e-04  1.445e+01  3.661211e-02
     547   1.709375e+00  6.9142e-01   500     9.54197e-02   501  4.2295e-07  8.7252e-07   1.646e-03  1.574e-04  1.446e+01  3.606708e-02
     548   1.712500e+00  6.9174e-01   500     9.55374e-02   501  4.2054e-07  8.6755e-07   1.639e-03  1.576e-04  1.446e+01  5.952904e-02
